,algo___v,algo__id,algo_algorithm,algo_contact,algo_name,algo_repository,algo_timestamp,dset__id,dset_dataset,dset_duration,dset_lab,dset_rate,dset_region,label__id,label_label,label_value
0,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee23,02.01.test,1000 s,Svoboda Lab,8,vS1,584b06feedbeb4fa75d2ee28,exclusion,0.8419000000000001
1,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee23,02.01.test,1000 s,Svoboda Lab,8,vS1,584b06feedbeb4fa75d2ee27,combined,0.3558
2,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee23,02.01.test,1000 s,Svoboda Lab,8,vS1,584b06feedbeb4fa75d2ee26,recall,0.32220000000000004
3,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee23,02.01.test,1000 s,Svoboda Lab,8,vS1,584b06feedbeb4fa75d2ee25,inclusion,0.7482000000000001
4,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee23,02.01.test,1000 s,Svoboda Lab,8,vS1,584b06feedbeb4fa75d2ee24,precision,0.39730000000000004
5,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee1d,00.00.test,438 s,Svoboda Lab,7,vS1,584b06feedbeb4fa75d2ee22,exclusion,0.6847000000000001
6,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee1d,00.00.test,438 s,Svoboda Lab,7,vS1,584b06feedbeb4fa75d2ee21,inclusion,0.6569
7,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee1d,00.00.test,438 s,Svoboda Lab,7,vS1,584b06feedbeb4fa75d2ee20,recall,0.0611
8,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee1d,00.00.test,438 s,Svoboda Lab,7,vS1,584b06feedbeb4fa75d2ee1f,combined,0.11130000000000001
9,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee1d,00.00.test,438 s,Svoboda Lab,7,vS1,584b06feedbeb4fa75d2ee1e,precision,0.6304000000000001
10,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee17,03.00.test,300 s,Losonczy Lab,7.5,dHPC CA1,584b06feedbeb4fa75d2ee1c,recall,0.0514
11,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee17,03.00.test,300 s,Losonczy Lab,7.5,dHPC CA1,584b06feedbeb4fa75d2ee1b,exclusion,0.42310000000000003
12,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee17,03.00.test,300 s,Losonczy Lab,7.5,dHPC CA1,584b06feedbeb4fa75d2ee1a,precision,0.5263
13,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee17,03.00.test,300 s,Losonczy Lab,7.5,dHPC CA1,584b06feedbeb4fa75d2ee19,combined,0.0936
14,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee17,03.00.test,300 s,Losonczy Lab,7.5,dHPC CA1,584b06feedbeb4fa75d2ee18,inclusion,0.8386
15,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee11,02.00.test,1000 s,Svoboda Lab,8,vS1,584b06feedbeb4fa75d2ee16,combined,0.3955
16,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee11,02.00.test,1000 s,Svoboda Lab,8,vS1,584b06feedbeb4fa75d2ee15,inclusion,0.7629
17,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee11,02.00.test,1000 s,Svoboda Lab,8,vS1,584b06feedbeb4fa75d2ee14,precision,0.47300000000000003
18,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee11,02.00.test,1000 s,Svoboda Lab,8,vS1,584b06feedbeb4fa75d2ee13,recall,0.3398
19,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee11,02.00.test,1000 s,Svoboda Lab,8,vS1,584b06feedbeb4fa75d2ee12,exclusion,0.8548
20,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee0b,01.01.test,667 s,Hausser Lab,7.5,V1,584b06feedbeb4fa75d2ee10,exclusion,0.9286000000000001
21,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee0b,01.01.test,667 s,Hausser Lab,7.5,V1,584b06feedbeb4fa75d2ee0f,recall,0.1316
22,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee0b,01.01.test,667 s,Hausser Lab,7.5,V1,584b06feedbeb4fa75d2ee0e,inclusion,0.6192000000000001
23,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee0b,01.01.test,667 s,Hausser Lab,7.5,V1,584b06feedbeb4fa75d2ee0d,precision,0.7778
24,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee0b,01.01.test,667 s,Hausser Lab,7.5,V1,584b06feedbeb4fa75d2ee0c,combined,0.22510000000000002
25,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee05,00.01.test,458 s,Svoboda Lab,7,vS1,584b06feedbeb4fa75d2ee0a,combined,0.1399
26,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee05,00.01.test,458 s,Svoboda Lab,7,vS1,584b06feedbeb4fa75d2ee09,precision,0.5286000000000001
27,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee05,00.01.test,458 s,Svoboda Lab,7,vS1,584b06feedbeb4fa75d2ee08,recall,0.0806
28,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee05,00.01.test,458 s,Svoboda Lab,7,vS1,584b06feedbeb4fa75d2ee07,exclusion,0.685
29,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2ee05,00.01.test,458 s,Svoboda Lab,7,vS1,584b06feedbeb4fa75d2ee06,inclusion,0.7081000000000001
30,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2edff,04.00.test,444 s,Harvey Lab,6.75,PPC,584b06feedbeb4fa75d2ee04,recall,0.1711
31,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2edff,04.00.test,444 s,Harvey Lab,6.75,PPC,584b06feedbeb4fa75d2ee03,precision,0.2883
32,0.0,584b06feedbeb4fa75d2edf2,greedy,neuronexperiment@gmail.com,test123,,2016-12-09 19:33:12.812,584b06feedbeb4fa75d2edff,04.00.test,444 s,Harvey Lab,6.75,PPC,584b06feedbeb4fa75d2ee02,exclusion,0.9085000000000001
