0,1,2,3,4,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.1594e-06,7.8505e-05,7.9332e-05,0.00032463,0.00050579,5.5334e-05
2.225e-06,8.3556e-05,8.1094e-05,0.00033331,0.00050209,6.2699e-05
2.2805e-06,8.8667e-05,8.2267e-05,0.00034023,0.00049334,7.1176e-05
2.3241e-06,9.3754e-05,8.2746e-05,0.00034513,0.00047928,8.0894e-05
2.3541e-06,9.8714e-05,8.2442e-05,0.00034782,0.00045989,9.1968e-05
2.3695e-06,0.00010343,8.1292e-05,0.00034823,0.00043548,0.00010449
2.3696e-06,0.00010776,7.9269e-05,0.00034643,0.00040667,0.0001185
2.3547e-06,0.00011158,7.6398e-05,0.00034264,0.0003744,0.00013401
2.3255e-06,0.00011475,7.2757e-05,0.00033725,0.00033994,0.00015093
2.2837e-06,0.00011716,6.8476e-05,0.00033078,0.00030469,0.00016914
2.2312e-06,0.00011873,6.3731e-05,0.00032384,0.00027014,0.00018842
2.1704e-06,0.00011941,5.8726e-05,0.00031702,0.00023763,0.00020853
2.1035e-06,0.0001192,5.3675e-05,0.00031084,0.00020831,0.00022918
2.0324e-06,0.00011817,4.8782e-05,0.00030565,0.00018297,0.00025009
1.9584e-06,0.0001164,4.4222e-05,0.00030159,0.00016206,0.00027096
1.8825e-06,0.00011402,4.0134e-05,0.00029858,0.00014568,0.00029156
1.8052e-06,0.00011119,3.6615e-05,0.00029632,0.00013367,0.00031165
1.7266e-06,0.00010807,3.3723e-05,0.00029432,0.00012566,0.00033105
1.6467e-06,0.00010483,3.148e-05,0.00029199,0.00012119,0.00034958
1.5655e-06,0.00010164,2.9881e-05,0.0002887,0.00011971,0.00036709
1.483e-06,9.8638e-05,2.8901e-05,0.00028384,0.00012072,0.00038338
1.3997e-06,9.5965e-05,2.85e-05,0.00027691,0.00012371,0.00039826
1.316e-06,9.373e-05,2.8626e-05,0.00026757,0.00012824,0.00041149
1.2326e-06,9.2022e-05,2.922e-05,0.00025567,0.00013392,0.00042277
1.1505e-06,9.0908e-05,3.0217e-05,0.00024127,0.00014042,0.0004318
1.0708e-06,9.0435e-05,3.1544e-05,0.00022465,0.00014749,0.00043822
9.9455e-07,9.0633e-05,3.3122e-05,0.00020623,0.00015494,0.00044169
9.2296e-07,9.1519e-05,3.4866e-05,0.00018658,0.00016268,0.00044191
8.5714e-07,9.3101e-05,3.6687e-05,0.00016634,0.00017068,0.00043862
7.9816e-07,9.5382e-05,3.8493e-05,0.00014617,0.00017905,0.00043166
7.4701e-07,9.8367e-05,4.0193e-05,0.0001267,0.00018799,0.00042099
7.0464e-07,0.00010207,4.17e-05,0.00010849,0.00019781,0.00040671
6.7195e-07,0.00010652,4.2938e-05,9.199e-05,0.00020895,0.00038907
6.4983e-07,0.00011176,4.3841e-05,7.7568e-05,0.00022196,0.00036845
6.3923e-07,0.00011787,4.4362e-05,6.5495e-05,0.00023748,0.00034537
6.4118e-07,0.00012497,4.4475e-05,5.5989e-05,0.00025628,0.00032043
6.5683e-07,0.00013322,4.4175e-05,4.9252e-05,0.00027913,0.0002943
6.8746e-07,0.00014284,4.3479e-05,4.5522e-05,0.00030685,0.00026765
7.3451e-07,0.00015409,4.2425e-05,4.513e-05,0.00034021,0.00024116
7.9955e-07,0.00016732,4.1069e-05,4.8547e-05,0.00037984,0.00021543
8.8417e-07,0.00018292,3.9481e-05,5.6437e-05,0.00042618,0.00019096
9.8995e-07,0.00020135,3.7737e-05,6.9676e-05,0.00047937,0.00016817
1.1182e-06,0.00022311,3.592e-05,8.9365e-05,0.00053913,0.00014734
1.2701e-06,0.00024873,3.4112e-05,0.0001168,0.00060473,0.00012867
1.4458e-06,0.00027872,3.239e-05,0.00015339,0.00067484,0.00011221
1.6451e-06,0.00031356,3.0822e-05,0.00020057,0.00074762,9.7937e-05
1.8665e-06,0.00035359,2.9469e-05,0.00025962,0.00082065,8.5762e-05
2.1075e-06,0.000399,2.8379e-05,0.00033148,0.00089109,7.5524e-05
2.3641e-06,0.00044973,2.7587e-05,0.00041651,0.00095582,6.7033e-05
2.631e-06,0.0005054,2.7118e-05,0.00051432,0.0010116,6.0072e-05
2.9017e-06,0.00056525,2.6986e-05,0.00062354,0.0010555,5.442e-05
3.1687e-06,0.00062811,2.7189e-05,0.00074177,0.0010849,4.9859e-05
3.4236e-06,0.0006924,2.7719e-05,0.00086554,0.0010979,4.6182e-05
3.6578e-06,0.00075612,2.8553e-05,0.00099049,0.0010934,4.3199e-05
3.863e-06,0.00081698,2.9658e-05,0.0011116,0.0010715,4.0739e-05
4.0317e-06,0.00087247,3.0989e-05,0.0012234,0.0010331,3.8657e-05
4.1575e-06,0.00092005,3.2492e-05,0.0013209,0.00097996,3.6829e-05
4.2361e-06,0.00095734,3.4102e-05,0.0013994,0.00091478,3.5155e-05
4.2651e-06,0.00098232,3.5749e-05,0.0014555,0.00084066,3.3559e-05
4.2445e-06,0.00099346,3.7355e-05,0.0014869,0.00076097,3.1987e-05
4.1764e-06,0.00098993,3.8843e-05,0.0014929,0.00067907,3.0404e-05
4.0652e-06,0.00097165,4.0139e-05,0.0014746,0.00059804,2.8797e-05
3.9171e-06,0.00093933,4.1175e-05,0.0014342,0.00052055,2.7165e-05
3.7394e-06,0.00089437,4.1895e-05,0.0013752,0.00044873,2.5521e-05
3.5406e-06,0.00083883,4.2259e-05,0.0013016,0.0003841,2.389e-05
3.3293e-06,0.00077515,4.2244e-05,0.001218,0.00032764,2.23e-05
3.1145e-06,0.00070605,4.1848e-05,0.0011288,0.00027979,2.0785e-05
2.9042e-06,0.00063426,4.1088e-05,0.001038,0.00024064,1.9379e-05
2.7064e-06,0.00056235,4e-05,0.00094892,0.00020999,1.8116e-05
2.5282e-06,0.00049259,3.8635e-05,0.00086425,0.00018748,1.7023e-05
2.376e-06,0.00042683,3.7058e-05,0.00078574,0.00017271,1.6127e-05
2.2561e-06,0.00036642,3.534e-05,0.00071439,0.00016532,1.5447e-05
2.1747e-06,0.00031226,3.3558e-05,0.00065051,0.00016508,1.4996e-05
2.1387e-06,0.0002648,3.1786e-05,0.0005939,0.0001719,1.478e-05
2.1557e-06,0.00022408,3.0096e-05,0.00054394,0.00018588,1.48e-05
2.2356e-06,0.00018987,2.8551e-05,0.00049981,0.0002073,1.5047e-05
2.3906e-06,0.0001617,2.7208e-05,0.00046056,0.00023662,1.5503e-05
2.6365e-06,0.00013896,2.6114e-05,0.00042527,0.00027445,1.6143e-05
2.9932e-06,0.00012098,2.5306e-05,0.00039309,0.00032152,1.6933e-05
3.486e-06,0.00010708,2.481e-05,0.00036331,0.0003786,1.7828e-05
4.1462e-06,9.6574e-05,2.4646e-05,0.00033538,0.0004465,1.8776e-05
5.0114e-06,8.8849e-05,2.4825e-05,0.00030892,0.00052598,1.9719e-05
6.1262e-06,8.3339e-05,2.5349e-05,0.00028374,0.00061768,2.0593e-05
7.542e-06,7.9547e-05,2.6212e-05,0.00025975,0.00072208,2.1336e-05
9.3158e-06,7.7035e-05,2.7401e-05,0.000237,0.00083942,2.1889e-05
1.1509e-05,7.5429e-05,2.8895e-05,0.0002156,0.00096964,2.2202e-05
1.4185e-05,7.4406e-05,3.0664e-05,0.00019572,0.0011123,2.2235e-05
1.7405e-05,7.3696e-05,3.2668e-05,0.00017755,0.0012666,2.1965e-05
2.1225e-05,7.3074e-05,3.4859e-05,0.00016126,0.0014313,2.1388e-05
2.5688e-05,7.2362e-05,3.7181e-05,0.00014704,0.0016047,2.0517e-05
3.0822e-05,7.1423e-05,3.957e-05,0.00013501,0.0017844,1.9381e-05
3.663e-05,7.0161e-05,4.1959e-05,0.00012528,0.0019678,1.8026e-05
4.309e-05,6.852e-05,4.4275e-05,0.00011795,0.0021519,1.6507e-05
