0,1,2,3,4,5,6,7,8,9,10,11,12
0.12521,0,0.0017779,0.0043045,0.035756,0,0,0.19482,0.084472,0,0,0,0
0.13695,0,0.0022734,0.0053348,0.039786,9.9374e-05,0,0.18226,0.079026,0,0,0,0
0.14884,0,0.0028887,0.0065701,0.044009,0.00014995,0,0.16943,0.073464,0,0,0,0
0.16066,0,0.0036455,0.0080364,0.048374,0.00022472,0,0.15644,0.06783,0,0,0,0
0.17216,0,0.0045671,0.0097581,0.052819,0.00033432,0,0.14339,0.06217,0,4.5717e-05,0,0
0.18304,0,0.0056768,0.011756,0.057268,0.00049349,0,0.13039,0.056537,0,7.072e-05,0,0
0.19298,0,0.0069972,0.014044,0.061635,0.00072233,0,0.11759,0.050983,0,0.00010848,0,0
0.20163,0,0.0085475,0.016628,0.065827,0.0010478,0,0.10509,0.045565,0,0.00016492,0,0
0.20868,0,0.010342,0.019501,0.069749,0.0015056,0,0.093028,0.040335,0,0.00024835,0,0
0.2138,0,0.012388,0.022639,0.073306,0.0021416,0,0.081522,0.035347,0,0.0003702,0,0
0.21671,0,0.01468,0.026003,0.076413,0.0030138,0,0.070679,0.030645,0,0.00054597,0,0
0.2172,0,0.017201,0.029532,0.079001,0.0041937,0,0.060592,0.026272,0,0.00079618,0,0
0.21514,0,0.01992,0.033146,0.081021,0.0057671,0,0.051335,0.022258,0,0.0011474,0,0
0.21048,0,0.022785,0.036747,0.082448,0.0078337,0,0.042959,0.018626,0,0.0016334,0,0
0.20331,0,0.02573,0.040221,0.083287,0.010505,0,0.035493,0.015389,0,0.0023372,0,0
0.19379,1.4969e-05,0.028689,0.043443,0.083571,0.013903,0,0.028938,0.012547,0,0.0032511,0,0
0.18222,2.4319e-05,0.031546,0.046287,0.083355,0.018149,0,0.023273,0.010091,0,0.0044634,0,0
0.16895,3.896e-05,0.034208,0.048643,0.082715,0.023362,0,0.018457,0.0080026,0,0.0060459,0,0
0.15441,6.1525e-05,0.036573,0.050385,0.081735,0.029645,0,0.014429,0.0062561,0,0.0080782,0,0
0.13908,9.5752e-05,0.038545,0.051438,0.080499,0.037072,0,0.011116,0.0048199,0,0.010645,0,0
0.12343,0.00014683,0.040042,0.051747,0.079081,0.045676,0,0.0084382,0.0036587,0,0.013834,0,0
0.10791,0.00022178,0.041001,0.051292,0.07754,0.05544,0,0.0063099,0.0027359,0,0.017729,0,0
0.092915,0.00032997,0.041386,0.050093,0.075907,0.066277,0,0.0046559,0.002015,0,0.022404,0,4.5773e-06
0.078793,0.00048348,0.041193,0.048205,0.074191,0.078031,0,0.003385,0.0014616,0,0.027921,0,7.482e-06
0.065797,0.0006976,0.040451,0.045719,0.072373,0.090467,1.1295e-05,0.0024304,0.0010439,0,0.034319,0,1.2043e-05
0.054103,0.00099112,0.03922,0.042751,0.070418,0.10328,1.847e-05,0.0017294,0.00073423,0,0.041611,0,1.9088e-05
0.043803,0.0013865,0.037589,0.039441,0.068291,0.11609,2.9739e-05,0.0012288,0.00050846,0,0.049778,0,2.9789e-05
0.034917,0.0019096,0.035673,0.035939,0.065918,0.12848,4.7145e-05,0.00088581,0.00034668,0,0.058765,0,4.5771e-05
0.027404,0.0025896,0.033601,0.032399,0.063262,0.13999,7.3585e-05,0.00066721,0.00023273,0,0.068482,0,6.9242e-05
0.021174,0.0034573,0.031516,0.028971,0.060294,0.15018,0.00011308,0.00054906,0.00015381,0,0.0788,0,0.00010313
0.016108,0.0045443,0.029556,0.025792,0.057006,0.15861,0.00017107,0.00051576,0.00010008,0,0.089561,0,0.00015122
0.012064,0.0058806,0.027855,0.022981,0.053417,0.16493,0.0002548,0.0005592,6.4113e-05,0,0.10058,0,0.00021831
0.0088952,0.0074919,0.02653,0.020637,0.049569,0.16884,0.00037363,0.00067787,4.0435e-05,0,0.11165,0,0.00031027
0.0064572,0.009397,0.025673,0.018834,0.045536,0.17016,0.0005394,0.00087593,2.5107e-05,0,0.12254,0,0.00043415
0.0046148,0.011604,0.025349,0.017619,0.041408,0.16884,0.00076665,0.0011623,1.5347e-05,0,0.13304,0,0.00059806
0.0032469,0.014107,0.025591,0.017017,0.037291,0.16492,0.0010727,0.0015283,0,0,0.14293,0,0.00081109
0.0022491,0.016883,0.026397,0.017023,0.033303,0.15861,0.0014778,0.0020405,0,0,0.15198,0,0.001083
0.0015337,0.019893,0.027729,0.017612,0.029558,0.15017,0.0020041,0.0026822,0,0,0.15999,0,0.0014235
0.0010297,0.023077,0.029518,0.018734,0.026172,0.13997,0.0026759,0.003471,0,0,0.1668,0,0.0018422
0.00068059,0.026355,0.031676,0.020317,0.023244,0.12844,0.0035174,0.0044222,0,0,0.17223,0,0.002347
0.00044287,0.029631,0.034064,0.022273,0.020863,0.11604,0.0045518,0.0055467,0,0,0.17616,0,0.0029438
0.00028371,0.032799,0.036549,0.024497,0.019097,0.10321,0.0057991,0.0068492,0,0,0.17849,0,0.0036351
0.00017893,0.035742,0.038985,0.02687,0.017997,0.090371,0.0072737,0.0083265,0,0,0.17915,0,0.0044191
0.0001111,0.038346,0.041225,0.02927,0.017591,0.077905,0.0089819,0.0099656,0,0,0.17811,0,0.005289
6.7916e-05,0.040501,0.043134,0.031569,0.017885,0.066117,0.010919,0.011742,0,0,0.17537,0,0.006232
0,0.042114,0.044595,0.033645,0.018861,0.055243,0.013069,0.013621,0,0,0.171,0,0.0072292
0,0.043113,0.045519,0.035387,0.020467,0.045441,0.015399,0.015556,0,0,0.16509,0,0.008256
0,0.043451,0.045851,0.036697,0.022673,0.0368,0.017863,0.01749,0,0,0.15779,0,0.0092825
0,0.043113,0.045573,0.037503,0.025371,0.029339,0.0204,0.01936,0,0,0.14931,0,0.010275
0,0.042114,0.044706,0.037756,0.028455,0.023029,0.022936,0.021097,0,0,0.13989,0,0.011197
0,0.040501,0.043305,0.037436,0.031799,0.017795,0.025388,0.022634,0,0,0.12979,0,0.012012
0,0.038346,0.041462,0.036552,0.035274,0.013538,0.027666,0.023906,0,0,0.11931,0,0.012688
0,0.035742,0.039292,0.035142,0.038711,0.010163,0.029681,0.024858,0,8.7418e-06,0.10874,0,0.013193
0,0.032799,0.036931,0.033256,0.041964,0.0075147,0.03135,0.025448,0,1.4301e-05,0.098382,0,0.013506
0,0.029631,0.034521,0.030998,0.044882,0.0054891,0.032599,0.025648,0,2.3032e-05,0.088494,0,0.013612
0,0.026355,0.032215,0.028445,0.047327,0.0039767,0.033372,0.025448,0,3.6518e-05,0.079303,0,0.013506
0,0.023077,0.030141,0.025698,0.049185,0.0028821,0.033633,0.024858,0,5.7004e-05,0.070986,0,0.013193
0,0.019893,0.028411,0.022856,0.050369,0.0021256,0.033372,0.023906,0,8.7602e-05,0.063662,0,0.012688
0,0.016883,0.027119,0.020014,0.050826,0.0016451,0.032599,0.022634,0,0.00013254,0.057389,0,0.012012
0,0.014107,0.026326,0.017253,0.050544,0.0013957,0.03135,0.021097,0,0.00019741,0.052164,0,0.011197
0,0.011623,0.026064,0.014642,0.049552,0.0013496,0.029681,0.01936,0,0.00028949,0.047932,0,0.010275
0,0.0094289,0.026331,0.012234,0.047905,0.0014948,0.027666,0.01749,0,0.00041793,0.044588,0,0.0092825
0,0.0075433,0.027095,0.010095,0.045731,0.001834,0.025388,0.015556,0,0.00059399,0.041995,0,0.008256
0,0.005962,0.028298,0.0082013,0.043142,0.0023829,0.022936,0.013621,0,0.00083114,0.039992,0,0.0072292
0,0.0046713,0.029864,0.0065807,0.040291,0.0031688,0.0204,0.011742,0,0.0011449,0.038412,0,0.006232
0,0.0036525,0.0317,0.0052319,0.037335,0.004228,0.017863,0.0099656,0,0.0015528,0.03709,0,0.005289
0,0.002885,0.033709,0.0041469,0.034437,0.0055689,0.015399,0.0083265,0,0.0020732,0.035875,0,0.0044191
0,0.0023498,0.035798,0.0033146,0.031745,0.0073202,0.013069,0.0068492,0,0.0027252,0.034642,0,0.0036351
0,0.002032,0.037881,0.0027243,0.029394,0.0094731,0.010919,0.0055467,0,0.0035267,0.033293,0,0.0029438
0,0.0019233,0.039892,0.0023689,0.02749,0.012069,0.0089819,0.0044222,0,0.0044931,0.031745,0,0.002347
0,0.0020227,0.041783,0.0022478,0.02611,0.015138,0.0072737,0.003471,0,0.0056356,0.030013,0,0.0018422
0,0.0023379,0.043531,0.0023689,0.025296,0.018693,0.0057991,0.0026822,0,0.0069591,0.028064,0,0.0014235
0,0.0028848,0.045138,0.0027504,0.025055,0.022725,0.0045518,0.0020405,0,0.0084601,0.025922,0,0.001083
0,0.003687,0.046624,0.0034215,0.025361,0.027198,0.0035174,0.0015283,0,0.010125,0.023631,0,0.00081109
0,0.0047738,0.048023,0.0044221,0.026152,0.032047,0.0026759,0.0011269,0,0.011931,0.021247,0,0.00059806
0,0.0061781,0.049379,0.0058017,0.027343,0.037175,0.0020041,0.00081802,7.3515e-06,0.01384,0.018833,0,0.00043415
0,0.0079329,0.050733,0.0076171,0.028822,0.042455,0.0014778,0.00058462,1.2026e-05,0.015806,0.016449,0,0.00031027
3.5255e-05,0.010068,0.052117,0.0099284,0.030474,0.047734,0.0010727,0.00041133,1.9369e-05,0.017771,0.014155,0,0.0002183
5.7673e-05,0.012603,0.053545,0.012794,0.032154,0.052837,0.00076665,0.00028492,3.071e-05,0.01967,0.011997,0,0.00015121
9.2885e-05,0.015548,0.05503,0.016267,0.033734,0.057578,0.0005394,0.0001943,4.7938e-05,0.021435,0.0099908,0,0.00010312
0.00014727,0.018884,0.0565,0.020382,0.035093,0.061772,0.00037363,0.00013045,7.367e-05,0.022997,0.0082182,0,6.9231e-05
