0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0.21234,0,0,0,0.14577,0.18473,0.84812,1.3091,0,0,0,0.11253,0,0,0,0.76396,0.65332,0.82008,3.5632,1.6897,0,0,0,0,0.76151,0.71002,1.2333
0.0047031,0,0,0,0.072828,0,0.42171,0.92242,0,0,0,0.025102,0,0,0.12172,0.46174,0.17887,0.41185,2.1684,0.94142,0,0,0,0,0.33073,0.57394,0.74733
0,0,0,0,0.026812,0,0.29319,0.61091,0,0,0,0,0,0,0.39026,0.25554,0.015763,0.41534,1.208,0.46782,0,0,0,0,0.053178,0.48632,0.41872
0,0,0,0,0.010427,0,0.45648,0.39338,0,0,0,0,0,0,0.35635,0.14322,0.042902,0.62289,0.67658,0.28238,0,0,0,0,0,0.46491,0.26125
0,0,0,0,0.0084531,0,0.85137,0.23125,0,0.039352,0,0,0,0,0.060532,0.070998,0.20595,0.7799,0.42049,0.26625,0,0,0,0,0.00050901,0.46939,0.19597
0,0,0,0,0.0074891,0,1.2309,0.086896,0,0.10992,0,0,0,0,0,0.010265,0.34911,0.69129,0.28303,0.29148,0,0,0,0,0.093178,0.42241,0.13345
0,0,0,0,0.00064594,0.00047771,1.2576,0,0,0.10762,0,0,0,0,0,0,0.25425,0.42231,0.18264,0.256,0,0,0,0,0.23331,0.26165,0.034734
0.044444,0,0,0,0,0.08066,0.83031,0,0,0.10146,0,0,0,0,0,0,0.0029717,0.20286,0.11365,0.14097,0,0,0,0,0.28501,0.03033,0
0.25038,0,0,0,0,0.089992,0.22911,0,0,0.20643,0,0,0,0,0.21571,0,0,0.16406,0.095181,0.021455,0,0,0,0,0.20254,0,0
0.64455,0,0,0,0,0.031757,0,0,0,0.5687,0,0,0,0,0.75675,0.025247,0,0.31242,0.12733,0,0,0,0,0,0.066962,0,0
1.1421,0,0,0,0,0,0,0,0,1.2574,0,0,0,0,0.95255,0.19854,0,0.56028,0.16815,0,0,0,0,0,0,0,0
1.5248,0,0,0,0,0,0,0,0,2.0874,0,0,0,0,0.59024,0.46625,0,0.66127,0.13264,0,0,0,0,0,0,0,0
1.5909,0,0,0.023503,0,0,0,0.070586,0,2.6738,0,0,0,0,0.068336,0.84073,0,0.44228,0.0083802,0,0,0,0,0,0,0,0
1.329,0,0,0.10614,0.014033,0,0,0.46359,0,2.7125,0,0,0,0,0,1.4719,0,0.069551,0,0,0,0,0,0,0,0,0
0.92802,0,0,0.22826,0.042697,0,0,0.83861,0,2.2183,0,0,0,0,0,2.6161,0,0,0,0,0,0,0,0,0,0,0.055276
0.61252,0,0,0.34835,0.067938,0,0,0.91327,0,1.4922,0,0,0,0,0,4.4487,0,0,0,0.10366,0,0,0,0,0,0.20248,0.12426
0.48596,0,0,0.40821,0.084355,0,0,0.58811,0,0.86749,0,0,0,0,0.018712,6.7682,0,0,0,0.47444,0,0,0,0,0,0.34751,0.1745
0.52509,0,0,0.36806,0.088235,0.016744,0.017841,0.081918,0,0.49165,0,0,0,0,0.12425,8.8653,0,0,0.16368,0.94887,0,0,0,0,0,0.33863,0.20495
0.63631,0,0,0.23646,0.075989,0.049605,0.27633,0,0,0.31723,0,0,0,0,0.029839,9.8318,0,0.13603,0.7338,1.167,0,0,0,0,0,0.25149,0.21026
0.69645,0,0,0.073462,0.048167,0.052041,0.60648,0,0,0.2253,0,0,0,0,0,9.176,0,0.17521,1.1592,0.82377,0,0,0,0,0,0.1769,0.18348
0.63506,0,0,0,0.014912,0.0059714,0.75937,0,0,0.12595,0,0,0,0,0,7.2187,0.019132,0.011587,1.1652,0.10534,0,0,0,0,0,0.14305,0.13038
0.49374,0,0,0,0,0,0.61709,0,0,0.016622,0,0,0,0,0,4.8754,0.0080085,0,0.85397,0,0,0,0,0,0,0.1214,0.073565
0.37913,0,0,0,0,0,0.30286,0,0,0,0,0,0,0,0,3.0108,0,0,0.52754,0,0,0,0,0,0,0.067807,0.036982
0.37599,0,0,0,0,0,0.051227,0,0,0,0,0,0,0,0.40355,1.9582,0,0,0.38375,0,0,0,0,0,0,0,0.028979
0.52445,0,0,0,0.018998,0,0,0,0,0,0,0,0,0,1.0494,1.5567,0,0,0.42983,0,0,0,0,0,0,0,0.04876
0.82447,0,0,0,0.13719,0,0,0.073268,0,0,0,0,0,0,1.2918,1.4596,0.0026649,0.048714,0.5558,0,0,0,0,0,0,0,0.094642
1.2151,0,0,0,0.36819,0.075565,0,0.11887,0,0,0,0,0,0,0.9515,1.3555,0.013229,0.38318,0.58625,0,0,0,0.000851,0,0,0,0.15484
1.5854,0,0,0,0.68553,0.10665,0,0.11022,0,0,0,0,0,0,0.33624,1.1135,0,0.55629,0.42803,0.21275,0,0,0,0,0,0,0.21209
1.8203,0,0,0,1.007,0.0093447,0,0.083568,0,0,0,0,0,0,0,0.82537,0,0.44255,0.1866,0.18374,0,0,0,0,0,0,0.2557
1.8369,0,0,0,1.2094,0,0,0.048245,0,0,0,0,0,0,0,0.66096,0,0.19148,0.041059,0,0,0,0,0,0,0,0.28306
1.6059,0,0,0,1.1763,0,0,0.0048002,0,0,0,0,0,0,0,0.70818,0,0.014427,0.032244,0,0,0,0,0,0,0,0.29265
1.1716,0,0,0,0.86622,0,0,0,0,0,0,0,0,0,0,0.93572,0,0,0.15428,0,0,0,0,0,0,0,0.27984
0.6598,0,0,0,0.37139,0,0,0,0.0064435,0.024096,0,0,0,0,0,1.1918,0,0,0.38279,0,0,0.0042809,0,0,0,0,0.24145
0.2375,0,0,0,0,0,0.002594,0,0.11868,0.17215,0,0,0,0,0,1.2829,0,0,0.54225,0.018548,0,0.043846,0,0,0,0.018551,0.18374
0.02087,0,0,0,0,0,0.057054,0,0.33469,0.24927,0,0,0,0.00028474,0,1.1492,0.067678,0,0.50508,0.2767,0,0.11175,0,0,0,0.15021,0.12266
0,0,0,0,0,0.012234,0.029865,0.061227,0.58911,0.18987,0,0,0,0,0,0.92803,0.25796,0,0.35445,0.37745,0,0.18516,0,0,0,0.34328,0.073435
0,0,0,0,0,0,0,0.29821,0.77695,0.069493,0,0,0,0,0,0.823,0.35007,0,0.28146,0.22068,0,0.22981,0,0,0,0.44349,0.039769
0,0,0,0,0,0,0,0.5043,0.81012,0.0011257,0,0,0,0,0,0.95965,0.28852,0,0.42431,0.01317,0,0.22467,0,0,0,0.3298,0.014432
0,0,0,0,0,0,0,0.53675,0.66778,0,0,0,0,0,0,1.342,0.11642,0,0.84553,0,0,0.17827,0,0,0,0.071439,0
0,0,0.093705,0,0,0,0,0.40718,0.40714,0.01812,0,0,0,0,0.087615,1.8217,0,0,1.4023,0,0,0.11874,0,0,0,0,0
0,0,0.046244,0,0,0,0.018115,0.24556,0.13521,0.096941,0.052097,0,0,0,0.14111,2.1443,0,0,1.7178,0,0,0.069048,0,0,0,0,0
0,0,0,0,0,0.026296,0.093887,0.16015,0,0.16968,0.17929,0,0,0,0.067904,2.1296,0,0,1.4981,0,0,0.033194,0,0,0,0,0
0,0,0,0,0,0.064911,0.09887,0.16812,0,0.17349,0.27127,0,0,0,0,1.8075,0,0,0.85039,0,0,0.0046378,0.010348,0,0,0,0
0,0,0,0,0,0.025236,0.030423,0.22639,0,0.11449,0.30076,0,0,0,0,1.3648,0,0.0031061,0.21489,0,0,0,0.019425,0,0,0,0
0,0,0,0,0,0,0,0.25264,0,0.046297,0.3131,0,0,0,0,0.9787,0,0.0049528,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.19063,0,0.0066778,0.38614,0,0,0,0,0.70978,0,0,0,0,0,0,0,0,0,0,0
0.013356,0,0,0,0,0,0,0.085861,0,0,0.58935,0.0049091,0,0,0,0.51633,0,0,0,0,0,0,0,0,0,0,0
0.080789,0,0,0,0,0,0,0.031593,0,0,0.9447,0.050545,0,0,0,0.33038,0,0,0.10382,0.24704,0,0,0,0,0,0,0
0.040105,0,0,0,0,0,0.10815,0.071544,0,0,1.3776,0,0,0,0.28315,0.13042,0,0,0.18115,0.83868,0,0,0,0,0,0,0
0,0,0,0.01995,0,0,0.348,0.26564,0,0,1.7252,0,0,0,0.76618,0,0,0,0.056805,1.1278,0,0,0,0,0,0,0
