0,1,2,3,4,5,6,7,8,9,10,11,12
-0,1.0925,2.7231,-0,-0,6.3215,-0,-0,-0,-0,-0,2.9638,-0
-0,1.0605,2.598,-0,-0,6.0382,-0,-0,-0,-0,-0,2.7869,-0
-0,0.99603,2.4996,-0,-0,5.7528,-0,-0,-0,-0,-0,2.6377,-0
-0,0.93413,2.4174,-0,-0,5.5157,-0,-0,-0,-0,-0,2.539,-0
-0,0.86185,2.3234,-0,-0,5.2668,-0,-0,-0,-0,-0,2.4344,-0
-0,0.80467,2.2421,-0,-0,5.0009,-0,-0,-0,-0,-0,2.312,-0
-0,0.8068,2.1943,-0,-0,4.7629,-0,-0,-0,-0,-0,2.2011,-0
-0,0.82562,2.1409,-0,-0,4.5369,-0,-0,-0,-0,-0,2.0912,-0
-0,0.79842,2.0338,-0,-0,4.2867,-0,-0,-0,-0,-0,1.9574,-0
-0,0.74475,1.8883,-0,-0,4.0425,-0,-0,-0,-0,-0,1.8145,-0
-0,0.70365,1.7639,-0,-0,3.8393,-0,-0,-0,-0,-0,1.6778,-0
0.26049,0.66256,1.6816,-0,-0,3.6425,-0,-0,-0,-0,-0,1.5368,-0
0.32569,0.61782,1.6095,-0,-0,3.4163,-0,-0,-0,-0,-0,1.3938,-0
0.29486,0.59588,1.527,-0,-0,3.183,-0,-0,-0,-0,-0,1.2617,-0
0.13485,0.58139,1.4354,-0,-0,2.9601,-0,-0,-0,-0,-0,1.1319,-0
-0,0.53612,1.3269,-0,-0,2.7161,-0,-0,-0,-0,-0,0.99951,-0
-0,0.46912,1.2079,-0,-0,2.4287,-0,-0,-0,-0,-0,0.87608,-0
-0,0.40748,1.1212,-0,-0,2.1418,-0,-0,-0,-0,-0,0.74906,-0
-0,0.34834,1.08,-0,-0,1.936,-0,-0,-0,-0,-0,0.59645,-0
-0,0.29305,1.0404,-0,-0,1.8329,-0,-0,-0,-0,-0,0.43428,-0
-0,0.25354,0.98002,-0,-0,1.7477,-0,-0,-0,-0,-0,0.27044,-0
-0,0.19689,0.91529,-0,-0,1.5881,-0,-0,-0,-0,-0,-0,-0
-0,0.056866,0.84433,-0,-0,1.3677,-0,-0,-0,-0,-0,-0,-0
-0,-0,0.76309,-0,-0,1.1617,-0,-0,-0,-0,-0,-0,-0
-0,-0,0.70116,-0,-0,0.98101,-0,-0,-0,-0,0.1132,-0,-0
-0,-0,0.65477,-0,-0,0.7859,-0,-0,-0,-0,0.24433,-0,-0
-0,-0,0.56427,-0,-0,0.59176,-0,-0,-0,-0,0.33033,-0,-0
-0,-0,0.4164,-0,-0,0.44008,-0,-0,-0,-0,0.42659,-0,-0
-0,-0,0.26723,-0,-0,0.3207,-0,-0,-0,-0,0.52317,-0,-0
-0,-0,0.12829,-0,-0,0.25285,-0,-0,-0,-0,0.61457,-0,-0
-0,-0,-0,-0,-0,0.30084,-0,-0,-0,-0,0.71249,-0,-0
-0,-0,-0,-0,-0,0.37667,-0,-0,-0,-0,0.81293,-0,-0
-0,-0,-0,-0,-0,0.35693,-0,-0,-0,-0,0.9002,-0,-0
-0,-0,-0,-0,-0,0.22632,-0,-0,-0,-0,0.97161,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.0341,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.0874,-0,-0
0.068714,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.1254,-0,-0
0.31156,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.1471,-0,-0
0.37192,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.1582,-0,-0
0.30114,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.1627,-0,-0
0.20377,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.1623,-0,-0
0.24206,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.1606,-0,0.08783
0.40711,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.1582,-0,0.16701
0.57433,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.1552,-0,0.18214
0.69718,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.1612,-0,0.16837
0.78282,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.176,-0,0.1836
0.8241,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.1641,-0,0.22542
0.79535,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.0953,-0,0.2562
0.70683,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.0034,-0,0.26923
0.60634,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.94549,-0,0.28308
0.51699,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.90661,-0,0.31507
0.43706,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.83213,-0,0.36888
0.41795,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.73082,-0,0.42785
0.52096,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.64838,-0,0.4648
0.67714,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.56997,-0,0.47299
0.76074,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.44979,-0,0.4725
0.71005,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.29981,-0,0.46851
0.55722,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.15978,-0,0.43682
0.39453,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.38032
0.2952,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.35015
0.22679,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.35797
0.057995,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.34424
-0,-0,-0,-0,-0,-0,-0,0.038949,-0,-0,-0,-0,0.29284
-0,-0,-0,-0,-0,-0,-0,0.054048,-0,-0,-0,-0,0.26687
-0,-0,0.12386,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.28444
-0,-0,0.18813,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.27586
-0,-0,0.22163,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.22352
-0,-0,0.28558,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.19649
-0,-0,0.33864,-0,-0,-0,-0,-0,-0,0.11322,-0,-0,0.22114
-0,-0,0.37779,-0,-0,-0,-0,-0,-0,0.22628,-0,-0,0.23103
-0,-0,0.42143,-0,-0,-0,-0,-0,-0,0.2635,-0,-0,0.20029
-0,-0,0.42264,-0,-0,-0,-0,-0,-0,0.28066,-0,-0,0.17131
-0,-0,0.35247,-0,-0,-0,-0,-0,-0,0.31297,-0,-0,0.17176
-0,-0,0.30311,-0,-0,-0,-0,-0,-0,0.34763,-0,-0,0.15733
-0,-0,0.36634,-0,-0,-0,-0,-0,-0,0.37142,-0,-0,0.062463
-0,-0,0.45909,-0,-0,-0,-0,-0,-0,0.39104,-0,-0,-0
-0,-0,0.50411,-0,-0,-0,-0,-0,-0,0.40882,-0,-0,-0
-0,-0,0.51508,-0,-0,-0,-0,-0,-0,0.42297,-0,-0,-0
-0,-0,0.50423,-0,-0,-0,-0,-0,-0,0.43789,-0,-0,-0
-0,-0,0.47159,-0,-0,-0,-0,-0,-0,0.45028,-0,-0,-0
-0,-0,0.47382,-0,-0,-0,-0,-0,-0,0.45195,-0,-0,-0
-0,-0,0.54358,0.11013,-0,-0,-0,-0,-0,0.45271,-0,-0,-0
-0,-0,0.59698,0.22963,-0,-0,-0,-0,-0,0.46572,-0,-0,-0
-0,-0,0.58092,0.24061,-0,-0,-0,-0,-0,0.47741,-0,-0,-0
-0,-0,0.57995,0.25741,-0,-0,-0,-0,-0,0.46932,-0,-0,-0
-0,-0,0.67509,0.31908,-0,-0,-0,-0,-0,0.44802,-0,-0,-0
-0,-0,0.79039,0.40178,-0,-0,-0,-0,-0,0.42376,-0,-0,-0
-0,-0,0.83564,0.48394,-0,-0,-0,-0,-0,0.38821,-0,-0,-0
-0,-0,0.83443,0.54168,-0,-0,-0,-0,-0,0.3404,-0,-0,-0
-0,-0,0.85798,0.55653,-0,-0,-0,-0,-0,0.30133,-0,-0,-0
-0,0.035935,0.90406,0.55027,-0,-0,-0,-0,-0,0.27984,-0,-0,-0
-0,0.1311,0.91277,0.57053,-0,-0,-0,-0,-0,0.26415,-0,-0,-0
-0,0.11478,0.87675,0.62343,-0,-0,-0,-0,-0,0.25396,-0,-0,-0
-0,0.077613,0.86833,0.66372,-0,-0,-0,-0,-0,0.24017,-0,-0,-0
-0,0.075085,0.92996,0.65836,-0,-0,-0,-0,-0,0.17296,-0,-0,-0
-0,0.038319,0.99313,0.61867,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,0.9917,0.56849,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,0.97066,0.50111,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,1.003,0.39113,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,1.06,0.2355,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,1.0878,0.0070173,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,1.1197,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,1.2044,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
0.16426,-0,1.3234,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
0.24384,-0,1.4503,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
0.29412,-0,1.5791,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
0.40294,-0,1.6798,-0,0.28906,-0,-0,-0,-0,-0,-0,-0,-0
0.54177,-0,1.7362,-0,0.49734,-0,-0,-0,-0,-0,-0,-0,-0
0.6286,-0,1.7982,-0,0.65855,-0,-0,-0,-0,-0,-0,-0,-0
0.65258,-0,1.905,-0,0.77502,-0,-0,-0,-0,-0,-0,-0,-0
0.6365,-0,2.017,-0,0.87143,-0,-0,-0,-0,-0,-0,-0,-0
0.59426,-0,2.0973,-0,0.98624,-0,-0,-0,-0,-0,0.11,-0,-0
0.57287,-0,2.1643,-0,1.119,-0,-0,-0,-0,-0,0.13156,-0,-0
0.5868,-0,2.23,-0,1.2464,-0,-0,-0,-0,-0,0.19514,-0,-0
0.5318,-0,2.2833,-0,1.3646,-0,-0,-0,-0,-0,0.31463,-0,-0
0.35548,-0,2.3394,-0,1.4762,-0,-0,-0,-0,-0,0.41222,-0,-0
0.23329,-0,2.411,-0,1.5771,-0,-0,-0,-0,-0,0.44303,-0,-0
0.32457,-0,2.4662,-0,1.679,-0,-0,-0,-0,-0,0.44885,-0,-0
0.3784,-0,2.4909,-0,1.7939,-0,-0,-0,-0,-0,0.4832,-0,-0
0.27184,-0,2.5256,-0,1.9007,-0,-0,-0,-0,-0,0.52032,-0,-0
