0,1,2,3,4,5
1.5263,0,1.7783,0.40952,15.153,0.92009
1.3344,0,1.7302,0.36387,13.091,1.2167
1.1574,0,1.6691,0.32714,11.057,1.5922
0.9985,0,1.5767,0.28611,9.1512,2.0229
0.85931,0,1.4527,0.24115,7.4267,2.4917
0.73982,2.2019e-06,1.3044,0.19626,5.9121,2.9836
0.63897,0.0018192,1.1412,0.15525,4.6196,3.4835
0.55497,0.0074213,0.97315,0.12065,3.5476,3.9763
0.48562,0.016077,0.8095,0.093536,2.6834,4.4484
0.42853,0.026539,0.65782,0.073823,2.006,4.888
0.38133,0.037545,0.5235,0.060733,1.4896,5.2861
0.34178,0.048055,0.40959,0.053275,1.1064,5.6371
0.30783,0.057373,0.31698,0.05058,0.82917,5.9384
0.27767,0.065183,0.24479,0.052049,0.6338,6.1905
0.2498,0.071519,0.19092,0.057299,0.4998,6.3963
0.22304,0.076689,0.15273,0.065961,0.41095,6.5608
0.19657,0.081195,0.12752,0.077377,0.35504,6.6895
0.17001,0.085656,0.11302,0.090323,0.32318,6.7884
0.14333,0.090751,0.10761,0.10287,0.30908,6.8632
0.11695,0.097189,0.11046,0.11248,0.30814,6.9182
0.091546,0.1057,0.1215,0.11643,0.3168,6.9566
0.068017,0.11705,0.14125,0.11251,0.33197,6.9795
0.047278,0.13204,0.17057,0.099756,0.35074,6.9866
0.030109,0.15151,0.21033,0.079115,0.37033,6.9754
0.01699,0.17632,0.261,0.053717,0.38817,6.9423
0.0079927,0.20733,0.32234,0.028519,0.40213,6.8823
0.0027378,0.24531,0.39309,0.0092412,0.41077,6.7898
0.0004393,0.2909,0.47081,0.00044431,0.41351,6.6594
0,0.34456,0.55199,0,0.4107,6.4864
0,0.40647,0.63222,0,0.40352,6.2672
0,0.4766,0.70666,0,0.39381,6.0008
0,0.55464,0.7705,0,0.38384,5.6882
0,0.64019,0.81956,0,0.37605,5.3334
0,0.73274,0.85074,0,0.37289,4.9429
0,0.83191,0.86242,0,0.37678,4.5259
0,0.93753,0.85456,0,0.39014,4.093
0.0007582,1.0498,0.82872,0,0.41545,3.6559
0.0053904,1.1693,0.78778,0,0.45537,3.2263
0.017861,1.2971,0.73559,0,0.51271,2.815
0.043019,1.4351,0.67645,0,0.59032,2.4312
0.086249,1.5851,0.61472,0,0.69074,2.0819
0.15292,1.7499,0.55432,0,0.81567,1.7716
0.24775,1.9321,0.49856,0,0.96526,1.5024
0.3741,2.1345,0.44992,0,1.1374,1.274
0.53337,2.3596,0.41014,0.0074552,1.327,1.0845
0.72456,2.6095,0.38028,0.077196,1.5257,0.93062
0.94395,2.8852,0.36099,0.24827,1.7221,0.80824
1.1852,3.1865,0.35267,0.54051,1.9021,0.71301
1.4395,3.5112,0.35569,0.95835,2.0503,0.64058
1.6962,3.8551,0.37053,1.4903,2.1519,0.58686
1.9437,4.2116,0.39778,2.1102,2.1942,0.54804
2.1699,4.5715,0.43806,2.7802,2.169,0.52067
2.3636,4.9229,0.49191,3.4558,2.0737,0.50153
2.5152,5.2522,0.55947,4.0909,1.9123,0.48766
2.6176,5.5442,0.64026,4.6436,1.6954,0.47627
2.6663,5.7831,0.73288,5.0804,1.4389,0.46483
2.6605,5.9543,0.83482,5.3798,1.1625,0.45116
2.6021,6.0451,0.94246,5.533,0.88709,0.43356
2.4964,6.0461,1.0511,5.544,0.63213,0.41098
2.351,5.9525,1.1553,5.4273,0.41334,0.38309
2.175,5.7648,1.2494,5.2053,0.24093,0.35036
1.9787,5.4888,1.3278,4.9045,0.11863,0.31392
1.7724,5.1354,1.3858,4.5526,0.043816,0.27547
1.5658,4.7201,1.4201,4.1755,0.0083856,0.23693
1.3672,4.2613,1.4288,3.7953,3.6541e-06,0.20024
1.1835,3.7789,1.4123,3.4292,0,0.16705
1.0195,3.2929,1.3723,3.0892,0,0.13858
0.87828,2.8214,1.3126,2.7827,0,0.11552
0.76135,2.3796,1.2378,2.5124,0,0.098113
0.66891,1.9789,1.1532,2.2781,0,0.086295
0.60044,1.6265,1.0644,2.0768,0,0.079896
0.55515,1.3257,0.97641,1.9043,0,0.078866
0.53251,1.0762,0.89379,1.7552,0,0.083454
0.53267,0.87475,0.82007,1.6238,0,0.094308
0.55684,0.71662,0.7579,1.5045,0,0.11247
0.60751,0.59597,0.70909,1.3922,0,0.13927
0.68865,0.50688,0.67481,1.2823,0.00040414,0.17601
0.80567,0.44383,0.65581,1.1717,0.011034,0.2236
0.96528,0.40203,0.65259,1.0584,0.042866,0.28212
1.1752,0.37755,0.66562,0.94178,0.10224,0.35035
1.4435,0.36721,0.69537,0.82284,0.19287,0.42545
1.7783,0.36842,0.74227,0.70375,0.31591,0.50297
2.1866,0.37891,0.80665,0.58756,0.47009,0.57701
2.6738,0.39651,0.88853,0.47777,0.65213,0.64082
3.2429,0.41896,0.98736,0.3777,0.85729,0.68761
3.8933,0.44378,1.1019,0.29008,1.0799,0.71151
4.6211,0.46834,1.2298,0.21659,1.3141,0.70854
5.4181,0.48997,1.368,0.15773,1.554,0.67734
6.272,0.50613,1.5123,0.11284,1.7941,0.61958
7.1668,0.51471,1.6577,0.080348,2.0295,0.53991
8.083,0.51424,1.7987,0.058185,2.256,0.44543
8.9987,0.50406,1.9298,0.044181,2.4698,0.34479
9.8907,0.4844,2.0456,0.036485,2.6675,0.24697
10.735,0.45631,2.1416,0.033841,2.8459,0.16009
11.509,0.42152,2.2142,0.035766,3.0018,0.090267
12.192,0.38223,2.2614,0.042595,3.1324,0.040849
12.767,0.34077,2.2822,0.055432,3.2346,0.012035
13.219,0.29942,2.2773,0.075977,3.3056,0.00085869
13.54,0.26013,2.2485,0.10623,3.3431,0
13.726,0.22439,2.1986,0.14807,3.3454,0
13.779,0.19322,2.131,0.20281,3.3117,0
13.706,0.16715,2.0495,0.27071,3.2422,0
13.517,0.1463,1.9581,0.35072,3.1389,0
13.226,0.13056,1.8603,0.44035,3.0052,0
12.852,0.11963,1.7592,0.53582,2.8457,0
12.413,0.1132,1.6577,0.63242,2.6668,0
11.929,0.111,1.5575,0.72509,2.4755,0
11.419,0.11286,1.4603,0.809,2.2795,0
10.903,0.11869,1.3667,0.88011,2.0863,0
10.396,0.12852,1.2772,0.93567,1.9033,0
9.9125,0.14239,1.1918,0.97443,1.7368,0
9.4649,0.16034,1.1101,0.99669,1.5921,0
9.0616,0.18232,1.0316,1.0041,1.4735,0
8.7088,0.20817,0.95587,0.99947,1.3843,0.00035924
8.4099,0.23758,0.88234,0.98617,1.3273,0.0063614
8.1658,0.27006,0.81062,0.96792,1.3049,0.022042
7.9751,0.30495,0.74048,0.94832,1.3201,0.048784
7.8343,0.34147,0.67187,0.93066,1.3763,0.086763
7.7375,0.37874,0.60496,0.91773,1.478,0.13525
7.6771,0.41586,0.54013,0.91174,1.6306,0.19284
7.6434,0.45188,0.47789,0.9143,1.8403,0.25775
7.625,0.48594,0.41888,0.92645,2.1134,0.32796
7.6091,0.51722,0.36374,0.94869,2.4555,0.40143
7.5818,0.545,0.31309,0.98096,2.8706,0.47618
7.5289,0.56863,0.26745,1.0226,3.3593,0.55038
7.4365,0.58757,0.22715,1.0725,3.9184,0.62233
7.2925,0.60138,0.19239,1.1288,4.5392,0.69044
7.087,0.6097,0.16314,1.1892,5.2076,0.75319
6.8139,0.61225,0.13923,1.251,5.9038,0.80912
6.4716,0.60888,0.12038,1.3112,6.6031,0.85676
6.0635,0.59955,0.10622,1.3667,7.2776,0.89471
5.598,0.58436,0.096419,1.4148,7.8974,0.92159
5.088,0.56356,0.090704,1.4533,8.4337,0.93621
4.5501,0.53762,0.088945,1.4809,8.8608,0.9376
4.0031,0.50715,0.091203,1.497,9.1582,0.92517
3.466,0.47298,0.09777,1.5026,9.3123,0.89884
2.9567,0.4361,0.1092,1.4992,9.3178,0.85909
2.4905,0.39761,0.12632,1.4897,9.1776,0.8071
2.0784,0.35867,0.15022,1.4773,8.9026,0.74467
1.7272,0.32043,0.18222,1.4661,8.5102,0.67418
1.4394,0.28399,0.22381,1.4601,8.0227,0.59845
1.2139,0.25027,0.27659,1.4638,7.4655,0.52056
1.0475,0.22003,0.34214,1.4813,6.8648,0.44355
0.93563,0.19379,0.42191,1.5169,6.2455,0.37022
0.87449,0.1719,0.51706,1.5748,5.6302,0.30293
0.86179,0.15449,0.62833,1.659,5.0376,0.24336
0.8977,0.14161,0.75592,1.7735,4.4821,0.19252
0.98514,0.13321,0.8993,1.922,3.9737,0.15071
1.1295,0.12931,1.0572,2.108,3.5183,0.1176
1.3374,0.12996,1.2273,2.3338,3.1182,0.092441
1.6158,0.13535,1.4067,2.6009,2.7727,0.074224
1.9691,0.14582,1.5915,2.9087,2.4792,0.061896
2.3972,0.16182,1.7772,3.2544,2.2333,0.054533
2.8932,0.18388,1.9585,3.6325,2.0302,0.051481
3.4419,0.21255,2.1301,4.0346,1.8645,0.052444
4.019,0.24826,2.2866,4.4493,1.7311,0.057517
4.5921,0.29125,2.4228,4.8623,1.6248,0.067185
5.1229,0.34146,2.5344,5.2577,1.5412,0.082269
5.5706,0.39844,2.6179,5.6185,1.4761,0.10384
5.8968,0.46133,2.671,5.928,1.4259,0.13308
6.0698,0.52888,2.6929,6.171,1.3875,0.17115
6.0689,0.59952,2.6841,6.335,1.3583,0.21903
5.888,0.67149,2.6467,6.4117,1.3364,0.27737
5.5362,0.743,2.584,6.3971,1.3203,0.34643
5.0377,0.81236,2.5006,6.2923,1.3092,0.42602
4.4287,0.87821,2.4014,6.1029,1.3028,0.51552
3.7533,0.93955,2.292,5.8391,1.3013,0.61398
3.0584,0.99589,2.178,5.5141,1.3055,0.72022
2.3881,1.0472,2.0647,5.1434,1.3168,0.83298
1.7791,1.094,1.9567,4.7432,1.3366,0.95102
1.2576,1.137,1.8581,4.3298,1.3672,1.0733
0.83719,1.1775,1.7721,3.9179,1.4109,1.199
0.51966,1.2166,1.701,3.5201,1.4705,1.3275
0.29657,1.2556,1.6466,3.1466,1.549,1.4586
0.1525,1.2956,1.6095,2.8048,1.6498,1.5922
0.068497,1.3375,1.5901,2.4993,1.7763,1.7283
0.02555,1.3818,1.5878,2.2325,1.9322,1.8671
0.0072264,1.4284,1.6017,2.0046,2.1212,2.0085
0.0012817,1.4768,1.6298,1.8146,2.3467,2.1523
8.6056e-05,1.5258,1.6697,1.6603,2.6117,2.298
4.4846e-07,1.5736,1.7181,1.539,2.9182,2.4445
1.3074e-05,1.6179,1.7709,1.4477,3.2671,2.5906
0.00035562,1.6557,1.8231,1.3834,3.6575,2.7343
0.0022568,1.6838,1.8693,1.3434,4.0865,2.8733
0.0077483,1.6988,1.9037,1.325,4.5487,3.0051
0.018914,1.6975,1.9206,1.3257,5.036,3.1268
0.036998,1.6773,1.9152,1.3433,5.5377,3.2359
0.061729,1.6361,1.8834,1.3755,6.0406,3.3298
0.091074,1.5731,1.8231,1.4201,6.5293,3.4066
0.1215,1.4887,1.7342,1.4749,6.9871,3.465
0.14867,1.3847,1.6187,1.5376,7.3966,3.5046
0.16838,1.2642,1.4806,1.6057,7.7408,3.5259
0.17746,1.1314,1.3257,1.6768,8.0044,3.5306
0.17449,0.99125,1.1611,1.7484,8.1745,3.521
0.16005,0.84919,0.99423,1.8182,8.2416,3.5005
0.13661,0.71045,0.8323,1.8839,8.2006,3.4731
0.10789,0.57977,0.68154,1.9436,8.051,3.4431
0.078072,0.46098,0.54669,1.9955,7.7969,3.415
0.050949,0.35677,0.43073,2.0381,7.4471,3.3935
0.029205,0.26857,0.33481,2.0703,7.0143,3.3827
0.01404,0.1966,0.2585,2.0915,6.5143,3.3867
0.0051639,0.14002,0.20014,2.1014,5.9649,3.4089
0.0011538,0.097204,0.15738,2.0997,5.385,3.452
5.4168e-05,0.066053,0.12762,2.0869,4.793,3.5182
0,0.044274,0.10844,2.0634,4.2064,3.6089
0,0.029651,0.097882,2.03,3.6404,3.7244
0,0.02024,0.094551,1.9874,3.1074,3.8642
3.9854e-06,0.014471,0.097648,1.9367,2.6168,4.0267
0.00086684,0.01119,0.10683,1.8789,2.1748,4.2089
0.0059555,0.0096291,0.12199,1.8151,1.7846,4.4067
0.021385,0.0093587,0.14302,1.7464,1.4466,4.615
0.056439,0.010212,0.16953,1.6737,1.159,4.8271
0.12362,0.012222,0.20061,1.598,0.91843,5.0359
0.23838,0.01556,0.23474,1.5201,0.7203,5.2337
0.41864,0.020488,0.26974,1.4409,0.55944,5.4126
0.68416,0.02731,0.303,1.361,0.4305,5.5653
1.0558,0.036345,0.3317,1.281,0.32829,5.6853
1.555,0.047907,0.35323,1.2014,0.24804,5.7679
2.2029,0.062296,0.36554,1.1226,0.18552,5.81
3.0198,0.079809,0.36743,1.0449,0.13713,5.8105
4.0249,0.10075,0.35873,0.96864,0.099866,5.7707
5.235,0.12545,0.34034,0.89405,0.071334,5.6936
6.6645,0.15427,0.31403,0.82136,0.049633,5.5843
8.3239,0.18764,0.28217,0.75085,0.0333,5.4489
10.219,0.22601,0.24737,0.68276,0.021221,5.2944
12.349,0.26987,0.21218,0.6174,0.012544,5.1282
14.705,0.31968,0.17873,0.5551,0.006607,4.9575
17.268,0.37585,0.1486,0.49621,0.002867,4.7887
20.011,0.43869,0.12275,0.44111,0.00084373,4.6275
22.889,0.50832,0.10153,0.39017,7.2783e-05,4.4783
25.848,0.58459,0.084872,0.34374,0,4.3445
28.819,0.6671,0.072385,0.30212,0,4.2278
31.722,0.75509,0.063529,0.26557,0,4.1288
34.466,0.8475,0.057723,0.23424,0,4.0471
36.956,0.94297,0.05441,0.20823,0,3.9808
39.095,1.0399,0.053065,0.18758,0,3.9274
40.792,1.1367,0.053181,0.17233,0,3.8832
41.968,1.2318,0.054229,0.16254,0,3.8443
42.56,1.3238,0.055631,0.15842,0,3.8061
42.53,1.4117,0.056758,0.16038,0,3.7639
41.868,1.4951,0.056973,0.16913,0,3.7134
40.592,1.5743,0.055711,0.18584,0,3.6505
38.751,1.65,0.052583,0.21214,0,3.5722
36.419,1.7239,0.047478,0.25024,6.7195e-05,3.4763
33.692,1.7983,0.040622,0.30295,0.00068473,3.3621
30.681,1.8759,0.032574,0.37357,0.0020644,3.2301
27.503,1.9599,0.024139,0.46578,0.0041119,3.0825
24.276,2.054,0.016208,0.58337,0.0065085,2.9223
21.105,2.1619,0.009564,0.72986,0.0087833,2.7537
18.082,2.2872,0.0047069,0.90804,0.010426,2.5814
15.279,2.4335,0.0017382,1.1195,0.011021,2.4105
12.747,2.604,0.00036286,1.3638,0.010376,2.2457
10.514,2.801,7.7098e-06,1.6387,0.0085923,2.0916
8.5889,3.0259,0,1.9389,0.0060684,1.9518
6.963,3.2789,0,2.2567,0.0034134,1.8293
5.6157,3.558,0,2.5817,0.0012812,1.7262
4.5179,3.8596,0,2.9012,0.0001534,1.6438
3.636,4.1772,0.00022616,3.2012,0,1.5825
2.9355,4.502,0.0021708,3.4672,0,1.5425
2.3831,4.8228,0.0087096,3.6852,0,1.5231
1.949,5.1261,0.024221,3.8431,0,1.5233
