0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,2.3594,0,0.40885,0,0,6.3309,0,0.15066,0.079242,0,0.21307,0,0,0.54484,0.041214,0,0,0,0.42844
0,0.18746,0.73867,0,0.23793,0,0,2.4015,0,0,0,0,0.03355,0,0,0.19048,0.060948,0,0,0,0
0,0.21612,0.42979,0,0.099139,0.017644,0,1.1214,0,0,0,0,0.17147,0,0,0.1237,0.038406,0,0.0028031,0,0
0,0.13271,0.25836,0,0,0,0,0.40976,0,0.10297,0,0.45471,0.4192,0,0,0.084742,0.0062819,0,0,0,0
0,0.16278,0,0.007464,0,0,0,0,0,0.089886,0,0.50727,0.17305,0,0,0,0.0070929,0.15846,0,0,0
0.32808,0.1559,0,0,0.093357,0.0029099,0.22727,0,0,0,0.059595,0.15325,0,0.011474,0,0,0.014118,0.2627,0,0,0
0.33203,0.022622,0,0,0.0080064,0,0.18011,0,0,0,0.028807,0.065265,0,0.067307,0,0,0,0.26264,0,0.20148,0
0,0,0,0,0,0,0.75687,0,0,0.10382,0,0.13442,0,0.037353,0,0,0,0.26453,0,0.31715,0
0,0,0,0,0,0,1.1596,0,0.0030188,0.41729,0,0.038296,0,0.0057528,0,0,0.0032522,0.21162,0,0.091452,0
0,0,0,0,0,0.12748,0.78115,0,0.0070956,0.27493,0,0,0,0,0.01797,0,0.0076651,0.12636,0,0.043512,0
0,0,0,0.0092067,0.18779,0.28559,0.78212,0,0.0096311,0.27311,0,0.027098,0,0,0.18838,0,0,0.11705,0,0.017904,0
0.010977,0.058471,0,0.054,0.035366,0.43534,1.0664,0,0.010987,0.30844,0,0,0,0,0.089688,0,0,0.11998,0,0,0
0.43067,0.064888,0,0.038463,0,0.32618,0.79697,0,0.012448,0.089966,0,0,0,0,0.29667,0,0,0.046446,0,0,0
0.4197,0,0,0.0031387,0.029143,0,0.57122,0,0.016846,0.25776,0,0,0.0026479,0,0.90214,0,0,0,0,0,0
0,0,0,0,0,0,0.76176,0,0.023011,1.048,0.1547,0,0.10845,0,0.99152,0,0,0,0,0.29998,0
0,0,0,0,0,0,0.66813,0,0.025283,1.0056,0.024664,0,0,0,0.36865,0,0,0,0,0.35351,0
0.040514,0,0,0,0.1295,0,0.36477,0,0.023232,0,0,0,0,0,0,0,0,0.008978,0,0.15991,0.019365
0,0,0,0,0.13496,0,0.39326,0,0.020589,0,0,0,0,0,0,0,0,0.062623,0,0.061581,0.033185
0,0,0,0,0,0,0.39312,0,0.016541,0,0.0018354,0.077538,0,0,0,0,0,0.051449,0,0,0
0,0,0,0,0,0.15669,0.15069,0,0.009806,0,0.1373,0.17344,0,0.0066352,0,0,0,0,0.20044,0,0
0,0,0,0.044585,0.038328,0.23995,0.1288,0,0.0043822,0,0.067111,0.16036,0,0.19979,0,0,0,0,0.094606,0,0
0.12862,0,0,0,0.06378,0.15112,0.23931,0,0.0028321,0,0.044897,0,0,0.14828,0,0,0,0.0025174,0,0,0
0,0.023502,0,0,0.00097069,0.25111,0.10863,0,0.002113,0,0.0028167,0,0,0.15104,0,0,0,0.063812,0,0,0.027747
0,0.092904,0,0,0.012961,0.15193,0.029872,0,0,0,0,0,0,0.3823,0,0.0091046,0,0.091943,0,0,0
0,0.034242,0,0.022073,0,0,0.13974,0,0,0.04509,0,0,0,0.59506,0,0.044798,0,0.051747,0,0,0
0,0,0,0.032211,0,0,0.090493,0,0,0,0.071549,0,0.084643,0.43717,0,0.065394,0.0081705,0,0,0,0.029573
0,0,0,0,0,0.088326,0,0,0.0022667,0,0,0,0.010136,0,0.12916,0.034891,0,0,0.18032,0,0.25311
0,0,0,0.0020321,0.10093,0.1762,0.0015319,0,0.0008308,0,0,0,0.073201,0,0.012872,0,0,0,0.4453,0,0.27093
0,0,0,0,0.046483,0.0030961,0.044937,0,0,0.14691,0,0.063322,0.24574,0,0,0,0,0,0.43501,0.10709,0.22427
0,0,0,0,0,0,0,0,0,0,0.048869,0,0.075259,0,0.14662,0,0,0,0.085899,0.25392,0.23477
0.14045,0,0,0,0.030283,0,0,0,0.0062855,0,0,0,0,0,0.20757,0,0,0,0,0.47802,0.040268
0,0,0,0,0,0,0,0,0.017763,0.0055195,0,0.023533,0.043777,0.034876,0,0,0,0,0,0.36439,0
0,0.023309,0,0,0,0,0,0,0.032044,0.32714,0.069981,0.087214,0.22529,0.12584,0,0,0,0,0,0.047688,0
0,0.088806,0,0,0,0.031774,0,0,0.052658,0,0.081148,0.14503,0,0.30782,0,0,0,0,0,0,0.02561
0.28457,0.037816,0,0,0,0,0,0,0.071364,0,0,0.23685,0,0.36075,0.16288,0.0076846,0,0,0,0,0
0.836,0,0.040367,0,0,0,0,0,0.08152,0.35024,0,0.11846,0,0.081324,0.25809,0,0,0,0,0,0
0.44571,0,0.14961,0,0,0,0,0,0.088677,0.081983,0,0,0.13005,0,0.039322,0,0,0,0,0,0.14782
0,0,0.042431,0,0,0,0,0,0.092405,0,0,0.030391,0.11737,0,0,0,0,0,0,0.085932,0.082025
0,0,0,0,0,0,0,0,0.086111,0,0,0.24206,0,0,0,0,0,0,0,0.0018666,0
0,0,0,0,0,0,0,0,0.075059,0,0,0.13066,0,0.019367,0,0,0,0,0.076351,0,0
0,0.01032,0,0,0.030328,0,0,0,0.066839,0,0,0.041413,0,0.0071778,0,0,0,0.026573,0.13262,0,0
0,0.063724,0,0,0.01241,0,0,0,0.05839,0,0,0.30842,0,0.012918,0,0,0,0.10895,0.058884,0,0
0,0.031059,0,0,0,0,0,0,0.049478,0.022776,0,0.39254,0.0064668,0.20996,0,0,0,0.057981,0.056461,0,0
0.37851,0.023942,0,0,0,0,0,0,0.046252,0,0.12121,0,0.045389,0.29518,0,0,0.0010341,0.023444,0.078836,0.10858,0.022057
0.35431,0.033271,0,0,0.084077,0,0.0022168,0,0.047195,0,0.042794,0,0,0.13857,0,0,0,0.031851,0.029677,0.098142,0.39472
0,0,0,0,0.080107,0.13131,0,0,0.046535,0.0084011,0,0,0,0.09915,0,0,0,0,0,0,0.23133
0,0,0,0,0.014863,0.19374,0,0,0.044491,0.051073,0,0,0,0.16644,0.32985,0,0,0,0,0,0.038877
0.12268,0,0,0,0.092367,0,0,0,0.040955,0,0,0,0,0.045683,0.33868,0,0,0,0,0,0.034698
0.10104,0.055726,0,0,0.089898,0,0,0,0.034402,0,0,0,0,0,0,0,0,0.011922,0,0,0
0,0.044903,0,0,0,0,0,0,0.029219,0.010576,0,0,0,0,0,0,0,0,0.14781,0,0
0,0,0,0,0,0,0,0,0.027301,0.17148,0,0,0,0,0.24871,0,0,0,0.25057,0.044423,0
0,0,0,0,0,0,0.016006,0,0.022048,0.4666,0,0.11206,0.33476,0,0.21297,0,0,0.017439,0.10706,0,0
0,0,0,0,0.085501,0,0,0,0.011697,0.72321,0.0023579,0,0.43187,0,0.022875,0,0,0,0,0,0
0,0.010514,0,0,0.12122,0.16512,0,0,0.003364,0.033934,0,0,0.2697,0,0,0.042707,0,0,0,0,0.13921
0,0,0,0,0.037692,0.16255,0,0,0.00139,0,0,0,0.080638,0,0,0.051743,0,0,0,0,0.35806
0,0,0,0,0,0.012575,0,0,0.0064109,0,0,0.0067817,0,0,0,0.0025674,0,0,0,0,0.19202
0,0,0.030694,0,0,0.10156,0,0,0.016076,0.27172,0,0.012013,0,0.27194,0,0,0,0.023469,0,0,0
0.15159,0,0,0,0,0.20653,0,0,0.01916,0.20669,0,0,0,0.48547,0,0,0,0.044636,0,0.058952,0
0.2278,0,0,0,0,0.0014221,0,0,0.01583,0.12335,0.012277,0,0.011835,0.39671,0,0,0,0.019178,0,0.21849,0
0,0,0,0,0,0,0,0,0.022037,0.30972,0.19386,0.31591,0.015538,0.28491,0,0,0,0,0.045987,0.152,0.14592
0,0,0,0,0,0,0,0,0.036246,0.11414,0.21249,0.2821,0,0.06505,0,0,0,0,0.073096,0.13308,0.21334
0.03354,0.041593,0,0.0082939,0.0031167,0.017087,0,0,0.034708,0,0.068451,0.038148,0,0,0,0.040457,0,0.02851,0,0.083216,0.14415
0,0.10145,0,0.056066,0,0.039897,0,0,0.021131,0.004541,0,0.0049369,0.097061,0,0,0.024345,0,0.0041094,0.029051,0.014633,0.036651
0,0.10177,0,0.012548,0,0.022679,0,0.10794,0.022479,0.16022,0,0.065156,0.10592,0,0.020947,0,0,0,0.17185,0.11031,0.020265
0,0.048466,0,0,0,0.018353,0,0.16066,0.035419,0.013542,0,0.078398,0,0,0.27744,0,0,0,0.12105,0.19226,0.022612
0,0,0,0,0,0,0,0.14875,0.033427,0.092672,0,0.023797,0,0,0.39456,0.13521,0,0.0020722,0,0.043133,0
0,0,0,0,0,0,0,0.25795,0.019831,0.49903,0,0,0,0,0.49133,0.11888,0,0,0,0.029049,0
0,0,0,0,0,0,0,0.43558,0.017386,0.46411,0,0,0.0017516,0,0.56448,0,0,0,0,0.22066,0
0.029008,0,0,0,0,0,0,0.5135,0.026753,0.046681,0,0,0.097805,0,0.3714,0,0,0,0,0.16632,0
0,0,0,0,0.18828,0,0,0.54022,0.035999,0,0,0,0.067846,0.092104,0.05844,0,0,0,0,0,0
0,0.038036,0,0,0.081364,0,0,0.56786,0.04092,0.052485,0,0,0,0.094711,0,0,0,0,0,0,0.00092841
0,0.08654,0,0.025691,0,0,0,0.47447,0.038937,0.043723,0,0,0,0,0,0,0.005185,0,0,0,0.049807
0,0.047652,0,0,0,0,0,0.29682,0.02476,0,0,0.052789,0.055817,0,0,0,0.0013479,0.027352,0,0,0
0.16454,0.024342,0,0,0,0,0,0.23541,0.0035699,0,0,0.080894,0.39132,0,0,0.07211,0,0,0,0,0
0.23491,0,0,0,0,0,0,0.25512,0,0,0,0,0.54979,0,0,0.028006,0,0,0,0,0
0,0,0,0.015455,0,0,0,0.17039,0,0,0,0,0.49231,0,0,0,0,0,0,0.056762,0
0,0,0,0,0,0,0,0.05105,0,0,0,0.14485,0.19068,0.061023,0,0,0,0,0,0.034142,0
0,0,0,0,0.047993,0.050106,0,0.050948,0,0,0,0.22415,0,0.16191,0.048379,0,0,0,0,0.024389,0
0,0,0,0,0.11039,0,0,0.098791,0,0,0.00071816,0,0,0,0,0,0,0,0.13392,0,0
0,0,0.009409,0,0.0081639,0,0,0.065559,0,0.020111,0.0041083,0,0,0,0.0021804,0.083414,0,0,0.21711,0,0.18535
0,0,0.11284,0,0,0.082083,0,0.028474,0,0.15147,0.0020222,0,0,0,0.12893,0.10021,0,0.014164,0,0,0.10191
0,0,0.050769,0,0,0.095025,0.007434,0.058526,0,0.25001,0.12122,0,0,0,0.081274,0,0,0.0091235,0,0,0
0,0,0,0,0,0,0,0.05204,0,0.16186,0.27098,0.21153,0.0070735,0,0,0,0,0,0,0.023109,0.0077887
0,0,0,0,0,0,0,0,0,0,0.22955,0.23073,0.34819,0,0.17028,0,0,0,0.062017,0.042133,0.14271
0,0,0,0,0,0.18483,0,0,0,0,0.065614,0.01523,0.38239,0.078585,0.35637,0,0,0.0021402,0.31692,0,0.19991
0,0.058391,0,0,0,0.39204,0,0,0,0,0.016151,0,0.087597,0,0.073313,0,0,0.0062633,0.38214,0,0.067361
0.0039303,0.046547,0,0,0,0.33696,0,0,0,0,0.11307,0,0,0,0,0,0,0.01724,0.055299,0,0
0.0073313,0.024259,0,0,0,0.20314,0.009897,0,0,0,0.16265,0,0,0,0.0015142,0,0,0.037958,0,0,0
0.14523,0.038102,0,0,0,0.14843,0.0075502,0,0,0,0,0,0.14054,0.084198,0.023273,0,0.0034837,0.039991,0,0,0
0.22267,0,0,0,0,0.095875,0,0,0,0,0,0.15123,0.26956,0.12428,0,0,0,0.019034,0.20247,0.020333,0
0,0,0,0,0.15292,0,0,0,0,0,0,0,0.1284,0.17545,0,0,0,0.0035258,0.15602,0.054555,0
0,0,0,0,0.34358,0,0,0,0,0,0,0,0,0.16724,0,0,0,0,0.057584,0.074971,0
0,0,0,0,0.19074,0,0,0,0,0,0,0.001592,0,0.05488,0,0,0,0,0.24336,0.0061445,0
0,0,0,0,0.020506,0,0,0,0,0,0.024015,0.33885,0,0.042032,0,0,0,0,0.43907,0,0
0,0.0054458,0,0,0.10708,0,0,0,0,0,0,0.17645,0,0.14915,0,0,0,0.0073371,0.28373,0,0
0,0.11405,0,0,0.23754,0.1122,0,0,0,0,0,0,0,0.27864,0,0,0,0.023238,0.098864,0,0.00057281
0,0.09853,0,0,0.07863,0.24181,0,0,0,0,0.058254,0,0,0.39242,0,0.047837,0.0037545,0,0.11895,0,0
0.42753,0,0.057262,0,0,0,0,0,0,0,0.064908,0,0,0.26669,0,0.18726,0,0,0.15083,0,0
0.34097,0,0,0,0,0,0,0,0,0,0,0,0.065134,0,0.017715,0.026795,0,0,0.061796,0.042458,0
0,0,0,0,0,0.079532,0,0,0,0,0,0.10132,0.07969,0,0.23741,0,0.0074271,0,0,0.25262,0.097164
0,0.044649,0,0,0.038793,0.36303,0,0,0,0,0.097932,0.22765,0,0,0.13144,0,0.0016345,0,0,0.14765,0.14181
0,0,0,0,0,0,0,0,0,0.16013,0.0011015,0,0.07522,0,0.027084,0.10589,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.57956,0,0,0.21902,0,0.096305,0.14098,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.44632,0,0,0,0,0.10536,0.013781,0,0,0,0,0.051506
0,0,0,0,0.19388,0.24192,0.013156,0,0,0.050637,0.079363,0,0,0.003991,0,0,0,0,0,0.059524,0.3092
0,0.05902,0,0,0.15575,0,0.0084995,0,0,0,0.09334,0,0,0,0,0.0039472,0,0,0,0,0.23061
0.017275,0.080816,0,0,0.0018673,0,0,0,0,0,0.009807,0,0,0,0,0.060665,0,0,0,0,0.0131
0.19537,0.018265,0,0,0.029797,0,0,0,0,0,0,0.043265,0,0,0,0.026912,0,0,0,0.12291,0.084828
0,0,0,0,0.051158,0,0,0,0,0.26844,0,0,0,0,0,0,0,0.0067742,0,0.15582,0.2902
0,0,0.060343,0,0,0.066301,0,0,0,0.86246,0,0,0.10885,0,0,0,0,0.021287,0,0.063413,0.070896
0,0,0,0,0,0.3959,0,0,0,0.63993,0,0,0.19233,0,0,0.033375,0,0.0096631,0,0.11948,0
0.28507,0,0,0,0,0.19193,0.0011616,0,0,0.02232,0,0.043786,0.070541,0,0,0.02054,0,0,0.036116,0.081768,0.1394
0,0,0,0,0,0,0,0,0,0,0,0.18316,0.06444,0,0,0,0,0,0,0,0.80116
0,0,0,0,0,0,0,0,0,0,0.027917,0.11639,0.23055,0,0,0,0,0,0,0.15177,0.7982
0,0,0,0,0,0.029215,0.00011324,0,0,0.10434,0.06171,0,0.29016,0,0,0,0.00041881,0,0,0.491,0.36001
0.037019,0,0,0.015972,0.058288,0.0081938,0,0,0,0.3666,0,0,0.050388,0,0,0,0.0021529,0,0,0.059913,0.20165
0,0,0,0.013409,0.10274,0,0,0,0,0.23225,0,0,0,0.081148,0,0,0,0.0069857,0.12858,0,0.16075
0,0,0,0,0.17556,0,0,0,0,0.009769,0,0,0,0.27742,0,0,0,0.022315,0.25703,0,0
0,0.031867,0,0,0.28114,0,0,0,0,0.01113,0,0,0.050139,0.087369,0,0.013495,0,0,0.13898,0.01591,0
0,0.036381,0,0,0.055023,0,0,0,0,0,0,0,0.088651,0,0,0,0,0,0,0.10334,0
0,0,0,0,0,0,0,0,0,0,0,0.13652,0,0,0.024254,0.016879,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.19162,0,0,0.014235,0.085969,0,0,0,0,0
0,0,0,0,0.15433,0,0,0,0,0,0,0.050429,0,0,0,0.045165,0,0,0,0,0
0,0.067569,0,0.0021167,0.053731,0,0,0,0,0,0,0.063053,0.035147,0.18915,0,0.0093562,0.002137,0,0.060915,0,0
0,0.068783,0,0,0,0,0,0,0,0,0,0.021395,0,0,0.1483,0.058707,0,0,0,0,0
0.21159,0.028851,0,0,0,0,0,0,0,0.54814,0.09608,0,0,0,0.1367,0.051548,0,0,0,0,0
0.045224,0.049676,0,0,0,0,0,0,0,0.82059,0.027702,0,0.11515,0,0,0,0,0,0,0,0
0,0.10157,0.013743,0,0,0.076057,0,0,0,0.28216,0,0,0.15918,0.33904,0,0,0,0.023728,0,0,0
0,0.047254,0,0,0.0031391,0.17332,0,0,0,0,0.064035,0,0,0.80052,0.090676,0,0,0.079452,0,0,0.077307
0,0,0,0,0.0056051,0,0,0,0,0,0.17604,0.15934,0,0.56747,0,0,0,0.066709,0,0,0.17422
0,0,0,0,0.012316,0,0,0,0,0,0,0.39148,0,0.14938,0,0,0,0.037493,0,0,0
