,index,algo,cell,dset,measure,split,value
0,0,stm,0,1,corr,test,0.7353253546790413
1,1,stm,1,1,corr,test,0.8436501722905553
2,2,stm,2,1,corr,test,0.8072501426051845
3,3,stm,3,1,corr,test,0.7989805399101524
4,4,stm,4,1,corr,test,0.8312643283642888
5,0,stm,0,1,corr_bits,test,1.1225019195071508
6,1,stm,1,1,corr_bits,test,1.794585531215139
7,2,stm,2,1,corr_bits,test,1.5214020977865583
8,3,stm,3,1,corr_bits,test,1.4674133431244238
9,4,stm,4,1,corr_bits,test,1.694323047806039
10,0,stm,0,1,rank,test,0.5508427389255499
11,1,stm,1,1,rank,test,0.6552748355269936
12,2,stm,2,1,rank,test,0.5339163853318131
13,3,stm,3,1,rank,test,0.5828510883030661
14,4,stm,4,1,rank,test,0.4963142229374109
15,0,stm,0,1,auc,test,0.8238687126831489
16,1,stm,1,1,auc,test,0.8852122554448136
17,2,stm,2,1,auc,test,0.8594788738678446
18,3,stm,3,1,auc,test,0.9284163388965664
19,4,stm,4,1,auc,test,0.8848574875584376
20,0,chenkov,0,1,corr,test,0.7320790620832202
21,1,chenkov,1,1,corr,test,0.8691232845444661
22,2,chenkov,2,1,corr,test,0.8318861294280305
23,3,chenkov,3,1,corr,test,0.8571209076342328
24,4,chenkov,4,1,corr,test,0.8789847795299341
25,0,chenkov,0,1,corr_bits,test,1.1076159787524111
26,1,chenkov,1,1,corr_bits,test,2.0313579173994976
27,2,chenkov,2,1,corr_bits,test,1.6991595050747852
28,3,chenkov,3,1,corr_bits,test,1.9140655291353819
29,4,chenkov,4,1,corr_bits,test,2.1367862031780103
30,0,chenkov,0,1,rank,test,0.5375901193510683
31,1,chenkov,1,1,rank,test,0.6338250890456207
32,2,chenkov,2,1,rank,test,0.5307056618788824
33,3,chenkov,3,1,rank,test,0.5797024526786739
34,4,chenkov,4,1,rank,test,0.5005615144095286
35,0,chenkov,0,1,auc,test,0.8148300306562477
36,1,chenkov,1,1,auc,test,0.8686821705426356
37,2,chenkov,2,1,auc,test,0.8558731187492222
38,3,chenkov,3,1,auc,test,0.9258876368661635
39,4,chenkov,4,1,auc,test,0.888087015533102
40,0,deneux,0,1,corr,test,0.7487565457590027
41,1,deneux,1,1,corr,test,0.8781139510357046
42,2,deneux,2,1,corr,test,0.8514947753345762
43,3,deneux,3,1,corr,test,0.8906899887463563
44,4,deneux,4,1,corr,test,0.9060564176315861
45,0,deneux,0,1,corr_bits,test,1.186512627748246
46,1,deneux,1,1,corr_bits,test,2.1271104914046575
47,2,deneux,2,1,corr_bits,test,1.8627239280855903
48,3,deneux,3,1,corr_bits,test,2.2745897294018778
49,4,deneux,4,1,corr_bits,test,2.481470758153931
